REVISION,DATA STATUS,LOCATION,PARENT EQUIPMENT,PARENT ITEM TAG,ASSET ROLE,ITEM TAG,DESCRIPTION,PANEL LOCATION,PANEL TAG,SUPPLY BUS,EQUIPMENT TYPE,STARTER TYPE,TYPICAL SCHEMATIC,CLASS,DUTY,COINCIDENCE FACTOR,SUPPLY AC/DC,PHASE ARRANGEMENT,RATED VOLTAGE [kV],POWER FACTOR AT DEMAND,EFFICIENCY AT DEMAND,RATED POWER,RATED UOM,ABSORBED POWER,ABSORBED UOM,DEMAND FACTOR,ELEC. CONSUMED POWER,CONSUMED UOM,FULL LOAD CURRENT [A],HAZARDOUS AREA,EXPLOSION PROTECTION,SUBTATION,CABL LENGTH,PARENT TRANSFORMER OF PANEL OR DIREC FEEDER (FDR),REMARKS,SPID
A,E,\NEX\B20\420,KPL2-B20-420-LV02-DB02,KPL2-B20-420-LV02-DB02,FINAL_LOAD,KPL2-B20-420-UP002,UPS DISTRIBUTION LOAD,\NEX\B20\420,KPL2-B20-420-LV02-DB02,B,USPB,FDR,FD-LV-UPS,N,S,0,AC,1PNG,0.23,0.98,1.0,15,kVA,11.59,kW,0.9,10.43,kW,26.7,Safe Area,-,KPL2-B20-420-SUB02,65,KPL2-B20-420-TR02,Synthetic final load record,SYN-LOAD-0084
A,E,\NEX\B20\420,KPL2-B20-420-LV02-DB02,KPL2-B20-420-LV02-DB02,FINAL_LOAD,KPL2-B20-420-PK007,PACKAGE AUXILIARY LOAD,\NEX\B20\420,KPL2-B20-420-LV02-DB02,-,PK,FDR,FD-LV-PKG,U,C,1,AC,3PNG,0.4,0.9,0.95,37,kW,28.11,kW,0.9,25.3,kW,40.6,Safe Area,-,KPL2-B20-420-SUB02,35,KPL2-B20-420-TR02,Synthetic final load record,SYN-LOAD-0085
A,E,\NEX\B20\420,KPL2-B20-420-LV02-DB02,KPL2-B20-420-LV02-DB02,FINAL_LOAD,KPL2-B20-420-PK008,PACKAGE AUXILIARY LOAD,\NEX\B20\420,KPL2-B20-420-LV02-DB02,B,PK,FDR,FD-LV-PKG,U,C,1,AC,3PNG,0.4,0.9,0.95,22,kW,18.82,kW,0.6,11.29,kW,18.1,Safe Area,-,KPL2-B20-420-SUB02,50,KPL2-B20-420-TR02,Synthetic final load record,SYN-LOAD-0086
A,E,\NEX\B20\420,KPL2-B20-420-LV02-DB02,KPL2-B20-420-LV02-DB02,FINAL_LOAD,KPL2-B20-420-PK009,PACKAGE AUXILIARY LOAD,\NEX\B20\420,KPL2-B20-420-LV02-DB02,B,PK,FDR,FD-LV-PKG,N,S,0,AC,3PNG,0.4,0.9,0.95,3,kW,2.2,kW,0.9,1.98,kW,3.2,Safe Area,-,KPL2-B20-420-SUB02,65,KPL2-B20-420-TR02,Synthetic final load record,SYN-LOAD-0087
A,E,\NEX\C30\430,KPL2-C30-430-LV03-MCC05,KPL2-C30-430-LV03-MCC05,FINAL_LOAD,KPL2-C30-430-MX001,MIXER DRIVE,\NEX\C30\430,KPL2-C30-430-LV03-MCC05,A,MAA,VSD,FD-LV-MOT,E,S,0,AC,3PNG,0.4,0.88,0.92,45,kW,41.9,kW,0.8,33.52,kW,55.0,Safe Area,-,KPL2-C30-430-SUB03,80,KPL2-C30-430-TR03,Synthetic final load record,SYN-LOAD-0088
A,E,\NEX\C30\430,KPL2-C30-430-LV03-MCC05,KPL2-C30-430-LV03-MCC05,FINAL_LOAD,KPL2-C30-430-PP001,PROCESS PUMP,\NEX\C30\430,KPL2-C30-430-LV03-MCC05,A,MAA,VSD,FD-LV-MOT,U,C,1,AC,3PNG,0.4,0.88,0.92,37,kW,31.43,kW,0.8,25.14,kW,41.2,Safe Area,-,KPL2-C30-430-SUB03,150,KPL2-C30-430-TR03,Synthetic final load record,SYN-LOAD-0089
A,E,\NEX\C30\430,KPL2-C30-430-LV03-MCC05,KPL2-C30-430-LV03-MCC05,FINAL_LOAD,KPL2-C30-430-CP001,AIR COMPRESSOR,\NEX\C30\430,KPL2-C30-430-LV03-MCC05,-,MAA,VSD,FD-LV-MOT,N,C,1,AC,3PNG,0.4,0.89,0.93,1.5,kW,1.35,kW,0.7,0.94,kW,1.5,Safe Area,-,KPL2-C30-430-SUB03,50,KPL2-C30-430-TR03,Synthetic final load record,SYN-LOAD-0090
A,E,\NEX\C30\430,KPL2-C30-430-LV03-MCC05,KPL2-C30-430-LV03-MCC05,FINAL_LOAD,KPL2-C30-430-FN001,VENTILATION FAN,\NEX\C30\430,KPL2-C30-430-LV03-MCC05,B,MAA,DOL,FD-LV-MOT,N,I,0,AC,3PNG,0.4,0.86,0.9,,kW,,kW,0.6,,kW,,Safe Area,-,KPL2-C30-430-SUB03,120,KPL2-C30-430-TR03,Synthetic final load record,SYN-LOAD-0091
A,E,\NEX\C30\430,KPL2-C30-430-LV03-MCC05,KPL2-C30-430-LV03-MCC05,FINAL_LOAD,KPL2-C30-430-MX002,MIXER DRIVE,\NEX\C30\430,KPL2-C30-430-LV03-MCC05,-,MAA,VSD,FD-LV-MOT,U,I,0,AC,3PNG,0.4,0.88,0.92,45,kW,36.38,kW,1.0,36.38,kW,59.7,Safe Area,-,KPL2-C30-430-SUB03,35,KPL2-C30-430-TR03,Synthetic final load record,SYN-LOAD-0092
A,E,\NEX\C30\430,KPL2-C30-430-LV03-MCC05,KPL2-C30-430-LV03-MCC05,FINAL_LOAD,KPL2-C30-430-FN002,VENTILATION FAN,\NEX\C30\430,KPL2-C30-430-LV03-MCC05,-,MAA,DOL,FD-LV-MOT,U,S,0,AC,3PNG,0.4,0.86,0.9,5.5,kW,4.1,kW,0.6,2.46,kW,4.1,Safe Area,-,KPL2-C30-430-SUB03,80,KPL2-C30-430-TR03,Synthetic final load record,SYN-LOAD-0093
A,E,\NEX\C30\430,KPL2-C30-430-LV03-MCC05,KPL2-C30-430-LV03-MCC05,FINAL_LOAD,KPL2-C30-430-HT001,SERVICE HEATER,\NEX\C30\430,KPL2-C30-430-LV03-MCC05,A,HE,FDR,FD-LV-HEAT,U,I,0,AC,3PNG,0.4,1.0,1.0,37,kW,28.4,kW,1.0,28.4,kW,41.0,Safe Area,-,KPL2-C30-430-SUB03,35,KPL2-C30-430-TR03,Synthetic final load record,SYN-LOAD-0094
A,E,\NEX\C30\430,KPL2-C30-430-LV03-MCC05,KPL2-C30-430-LV03-MCC05,FINAL_LOAD,KPL2-C30-430-CP002,AIR COMPRESSOR,\NEX\C30\430,KPL2-C30-430-LV03-MCC05,A,MAA,VSD,FD-LV-MOT,U,C,1,AC,3PNG,0.4,0.89,0.93,45,kW,35.66,kW,1.0,35.66,kW,57.8,Safe Area,-,KPL2-C30-430-SUB03,65,KPL2-C30-430-TR03,Synthetic final load record,SYN-LOAD-0095
A,E,\NEX\C30\430,KPL2-C30-430-LV03-MCC05,KPL2-C30-430-LV03-MCC05,FINAL_LOAD,KPL2-C30-430-PK001,PACKAGE AUXILIARY LOAD,\NEX\C30\430,KPL2-C30-430-LV03-MCC05,B,PK,FDR,FD-LV-PKG,U,I,0,AC,3PNG,0.4,0.9,0.95,11,kW,9.67,kW,0.6,5.8,kW,9.3,Safe Area,-,KPL2-C30-430-SUB03,35,KPL2-C30-430-TR03,Synthetic final load record,SYN-LOAD-0096
A,E,\NEX\C30\430,KPL2-C30-430-LV03-MCC05,KPL2-C30-430-LV03-MCC05,FINAL_LOAD,KPL2-C30-430-HT002,SERVICE HEATER,\NEX\C30\430,KPL2-C30-430-LV03-MCC05,B,HE,FDR,FD-LV-HEAT,U,S,0,AC,3PNG,0.4,1.0,1.0,55,kW,46.07,kW,0.9,41.46,kW,59.8,Safe Area,-,KPL2-C30-430-SUB03,120,KPL2-C30-430-TR03,Synthetic final load record,SYN-LOAD-0097
A,E,\NEX\C30\430,KPL2-C30-430-LV03-MCC05,KPL2-C30-430-LV03-MCC05,FINAL_LOAD,KPL2-C30-430-FN003,VENTILATION FAN,\NEX\C30\430,KPL2-C30-430-LV03-MCC05,-,MAA,DOL,FD-LV-MOT,E,I,0,AC,3PNG,0.4,0.86,0.9,11,kW,8.39,kW,1.0,8.39,kW,14.1,Safe Area,-,KPL2-C30-430-SUB03,150,KPL2-C30-430-TR03,Synthetic final load record,SYN-LOAD-0098
A,E,\NEX\C30\430,KPL2-C30-430-LV03-MCC05,KPL2-C30-430-LV03-MCC05,FINAL_LOAD,KPL2-C30-430-PK002,PACKAGE AUXILIARY LOAD,\NEX\C30\430,KPL2-C30-430-LV03-MCC05,B,PK,FDR,FD-LV-PKG,U,I,0,AC,3PNG,0.4,0.9,0.95,45,kW,37.62,kW,0.9,33.86,kW,54.3,Safe Area,-,KPL2-C30-430-SUB03,65,KPL2-C30-430-TR03,Synthetic final load record,SYN-LOAD-0099
A,E,\NEX\C30\430,KPL2-C30-430-LV03-MCC05,KPL2-C30-430-LV03-MCC05,FINAL_LOAD,KPL2-C30-430-FN004,VENTILATION FAN,\NEX\C30\430,KPL2-C30-430-LV03-MCC05,B,MAA,DOL,FD-LV-MOT,N,S,0,AC,3PNG,0.4,0.86,0.9,55,kW,51.94,kW,0.8,41.55,kW,69.7,Safe Area,-,KPL2-C30-430-SUB03,95,KPL2-C30-430-TR03,Synthetic final load record,SYN-LOAD-0100
A,E,\NEX\C30\430,KPL2-C30-430-LV03-MCC05,KPL2-C30-430-LV03-MCC05,FINAL_LOAD,KPL2-C30-430-PK003,PACKAGE AUXILIARY LOAD,\NEX\C30\430,KPL2-C30-430-LV03-MCC05,A,PK,FDR,FD-LV-PKG,E,S,0,AC,3PNG,0.4,0.9,0.95,30,kW,24.33,kW,0.6,14.6,kW,23.4,Safe Area,-,KPL2-C30-430-SUB03,80,KPL2-C30-430-TR03,Synthetic final load record,SYN-LOAD-0101
A,E,\NEX\C30\430,KPL2-C30-430-LV03-MCC05,KPL2-C30-430-LV03-MCC05,FINAL_LOAD,KPL2-C30-430-FN005,VENTILATION FAN,\NEX\C30\430,KPL2-C30-430-LV03-MCC05,-,MAA,DOL,FD-LV-MOT,U,S,0,AC,3PNG,0.4,0.86,0.9,7.5,kW,6.84,kW,0.8,5.47,kW,9.2,Safe Area,-,KPL2-C30-430-SUB03,65,KPL2-C30-430-TR03,Synthetic final load record,SYN-LOAD-0102
A,E,\NEX\C30\430,KPL2-C30-430-LV03-MCC06,KPL2-C30-430-LV03-MCC06,FINAL_LOAD,KPL2-C30-430-PK004,PACKAGE AUXILIARY LOAD,\NEX\C30\430,KPL2-C30-430-LV03-MCC06,-,PK,FDR,FD-LV-PKG,N,C,1,AC,3PNG,0.4,0.9,0.95,1.5,kW,1.27,kW,0.7,0.89,kW,1.4,Safe Area,-,KPL2-C30-430-SUB03,80,KPL2-C30-430-TR03,Synthetic final load record,SYN-LOAD-0103
A,E,\NEX\C30\430,KPL2-C30-430-LV03-MCC06,KPL2-C30-430-LV03-MCC06,FINAL_LOAD,KPL2-C30-430-HT003,SERVICE HEATER,\NEX\C30\430,KPL2-C30-430-LV03-MCC06,B,HE,FDR,FD-LV-HEAT,U,I,0,AC,3PNG,0.4,1.0,1.0,18.5,kW,16.69,kW,0.9,15.02,kW,21.7,Safe Area,-,KPL2-C30-430-SUB03,80,KPL2-C30-430-TR03,Synthetic final load record,SYN-LOAD-0104
A,E,\NEX\C30\430,KPL2-C30-430-LV03-MCC06,KPL2-C30-430-LV03-MCC06,FINAL_LOAD,KPL2-C30-430-PP002,PROCESS PUMP,\NEX\C30\430,KPL2-C30-430-LV03-MCC06,B,MAA,VSD,FD-LV-MOT,N,I,0,AC,3PNG,0.4,0.88,0.92,2.2,kW,1.74,kW,0.9,1.57,kW,2.6,Safe Area,-,KPL2-C30-430-SUB03,120,KPL2-C30-430-TR03,Synthetic final load record,SYN-LOAD-0105
A,E,\NEX\C30\430,KPL2-C30-430-LV03-MCC06,KPL2-C30-430-LV03-MCC06,FINAL_LOAD,KPL2-C30-430-PK005,PACKAGE AUXILIARY LOAD,\NEX\C30\430,KPL2-C30-430-LV03-MCC06,-,PK,FDR,FD-LV-PKG,E,S,0,AC,3PNG,0.4,0.9,0.95,7.5,kW,6.25,kW,1.0,6.25,kW,10.0,Safe Area,-,KPL2-C30-430-SUB03,95,KPL2-C30-430-TR03,Synthetic final load record,SYN-LOAD-0106
A,E,\NEX\C30\430,KPL2-C30-430-LV03-MCC06,KPL2-C30-430-LV03-MCC06,FINAL_LOAD,KPL2-C30-430-MX003,MIXER DRIVE,\NEX\C30\430,KPL2-C30-430-LV03-MCC06,A,MAA,VSD,FD-LV-MOT,E,S,0,AC,3PNG,0.4,0.88,0.92,7.5,kW,6.67,kW,0.8,5.34,kW,8.8,Safe Area,-,KPL2-C30-430-SUB03,35,KPL2-C30-430-TR03,Synthetic final load record,SYN-LOAD-0107
A,E,\NEX\C30\430,KPL2-C30-430-LV03-MCC06,KPL2-C30-430-LV03-MCC06,FINAL_LOAD,KPL2-C30-430-CP003,AIR COMPRESSOR,\NEX\C30\430,KPL2-C30-430-LV03-MCC06,A,MAA,VSD,FD-LV-MOT,N,I,0,AC,3PNG,0.4,0.89,0.93,4,kW,3.18,kW,1.0,3.18,kW,5.2,Safe Area,-,KPL2-C30-430-SUB03,50,KPL2-C30-430-TR03,Synthetic final load record,SYN-LOAD-0108
A,E,\NEX\C30\430,KPL2-C30-430-LV03-MCC06,KPL2-C30-430-LV03-MCC06,FINAL_LOAD,KPL2-C30-430-CP004,AIR COMPRESSOR,\NEX\C30\430,KPL2-C30-430-LV03-MCC06,B,MAA,VSD,FD-LV-MOT,U,I,0,AC,3PNG,0.4,0.89,0.93,15,kW,11.8,kW,1.0,11.8,kW,19.1,Safe Area,-,KPL2-C30-430-SUB03,35,KPL2-C30-430-TR03,Synthetic final load record,SYN-LOAD-0109
A,E,\NEX\C30\430,KPL2-C30-430-LV03-MCC06,KPL2-C30-430-LV03-MCC06,FINAL_LOAD,KPL2-C30-430-FN006,VENTILATION FAN,\NEX\C30\430,KPL2-C30-430-LV03-MCC06,-,MAA,DOL,FD-LV-MOT,N,S,0,AC,3PNG,0.4,0.86,0.9,5.5,kW,4.26,kW,0.7,2.98,kW,5.0,Safe Area,-,KPL2-C30-430-SUB03,95,KPL2-C30-430-TR03,Synthetic final load record,SYN-LOAD-0110
A,E,\NEX\C30\430,KPL2-C30-430-LV03-MCC06,KPL2-C30-430-LV03-MCC06,FINAL_LOAD,KPL2-C30-430-FN007,VENTILATION FAN,\NEX\C30\430,KPL2-C30-430-LV03-MCC06,-,MAA,DOL,FD-LV-MOT,E,I,0,AC,3PNG,0.4,0.86,0.9,5.5,kW,4.02,kW,0.6,2.41,kW,4.0,Safe Area,-,KPL2-C30-430-SUB03,50,KPL2-C30-430-TR03,Synthetic final load record,SYN-LOAD-0111
A,E,\NEX\C30\430,KPL2-C30-430-LV03-MCC06,KPL2-C30-430-LV03-MCC06,FINAL_LOAD,KPL2-C30-430-CP005,AIR COMPRESSOR,\NEX\C30\430,KPL2-C30-430-LV03-MCC06,B,MAA,VSD,FD-LV-MOT,U,C,1,AC,3PNG,0.4,0.89,0.93,55,kW,49.54,kW,0.6,29.72,kW,48.2,Safe Area,-,KPL2-C30-430-SUB03,80,KPL2-C30-430-TR03,Synthetic final load record,SYN-LOAD-0112
A,E,\NEX\C30\430,KPL2-C30-430-LV03-MCC06,KPL2-C30-430-LV03-MCC06,FINAL_LOAD,KPL2-C30-430-HT004,SERVICE HEATER,\NEX\C30\430,KPL2-C30-430-LV03-MCC06,A,HE,FDR,FD-LV-HEAT,E,S,0,AC,3PNG,0.4,1.0,1.0,15,kW,12.03,kW,0.6,7.22,kW,10.4,Safe Area,-,KPL2-C30-430-SUB03,150,KPL2-C30-430-TR03,Synthetic final load record,SYN-LOAD-0113
A,E,\NEX\C30\430,KPL2-C30-430-LV03-MCC06,KPL2-C30-430-LV03-MCC06,FINAL_LOAD,KPL2-C30-430-PP003,PROCESS PUMP,\NEX\C30\430,KPL2-C30-430-LV03-MCC06,A,MAA,VSD,FD-LV-MOT,U,I,0,AC,3PNG,0.4,0.88,0.92,11,kW,9.22,kW,1.0,9.22,kW,15.1,Safe Area,-,KPL2-C30-430-SUB03,50,KPL2-C30-430-TR03,Synthetic final load record,SYN-LOAD-0114
A,E,\NEX\C30\430,KPL2-C30-430-MV01-SWG01,KPL2-C30-430-MV01-SWG01,FINAL_LOAD,KPL2-C30-430-MV001,MEDIUM VOLTAGE MOTOR,\NEX\C30\430,KPL2-C30-430-MV01-SWG01,-,MAA,FDR,FD-MV-MOT,N,C,1,AC,3PNG,6.6,0.9,0.95,800,kW,758.23,kW,0.6,454.94,kW,44.2,Safe Area,-,KPL2-C30-430-SUB03,150,KPL2-C30-430-MV01-SWBD03,Synthetic final load record,SYN-LOAD-0115
A,E,\NEX\C30\430,KPL2-C30-430-MV01-SWG01,KPL2-C30-430-MV01-SWG01,FINAL_LOAD,KPL2-C30-430-MV002,MEDIUM VOLTAGE MOTOR,\NEX\C30\430,KPL2-C30-430-MV01-SWG01,B,MAA,FDR,FD-MV-MOT,U,C,1,AC,3PNG,6.6,0.9,0.95,800,kW,690.46,kW,1.0,690.46,kW,67.1,Safe Area,-,KPL2-C30-430-SUB03,80,KPL2-C30-430-MV01-SWBD03,Synthetic final load record,SYN-LOAD-0116
A,E,\NEX\C30\430,KPL2-C30-430-MV01-SWG01,KPL2-C30-430-MV01-SWG01,FINAL_LOAD,KPL2-C30-430-MV003,MEDIUM VOLTAGE MOTOR,\NEX\C30\430,KPL2-C30-430-MV01-SWG01,-,MAA,FDR,FD-MV-MOT,U,S,0,AC,3PNG,6.6,0.9,0.95,560,kW,518.81,kW,0.9,466.93,kW,45.4,Safe Area,-,KPL2-C30-430-SUB03,35,KPL2-C30-430-MV01-SWBD03,Synthetic final load record,SYN-LOAD-0117
A,E,\NEX\C30\430,KPL2-C30-430-MV01-SWG01,KPL2-C30-430-MV01-SWG01,FINAL_LOAD,KPL2-C30-430-MV004,MEDIUM VOLTAGE MOTOR,\NEX\C30\430,KPL2-C30-430-MV01-SWG01,A,MAA,FDR,FD-MV-MOT,N,I,0,AC,3PNG,6.6,0.9,0.95,400,kW,348.05,kW,0.8,278.44,kW,27.1,Safe Area,-,KPL2-C30-430-SUB03,50,KPL2-C30-430-MV01-SWBD03,Synthetic final load record,SYN-LOAD-0118
A,E,\NEX\C30\430,KPL2-C30-430-MV01-SWG01,KPL2-C30-430-MV01-SWG01,FINAL_LOAD,KPL2-C30-430-MV005,MEDIUM VOLTAGE MOTOR,\NEX\C30\430,KPL2-C30-430-MV01-SWG01,-,MAA,FDR,FD-MV-MOT,E,S,0,AC,3PNG,6.6,0.9,0.95,800,kW,590.41,kW,0.6,354.25,kW,34.4,Safe Area,-,KPL2-C30-430-SUB03,95,KPL2-C30-430-MV01-SWBD03,Synthetic final load record,SYN-LOAD-0119
A,E,\NEX\A10\410,KPL2-A10-410-LV01-DB01,KPL2-A10-410-LV01-DB01,FINAL_LOAD,KPL2-A10-410-PP009,PROCESS PUMP,\NEX\A10\410,KPL2-A10-410-LV01-DB01,-,HE,FDR,FD-LV-HEAT,E,C,1,AC,3PNG,0.4,1.0,1.0,75,kW,67.53,kW,0.6,40.52,kW,58.5,Safe Area,-,KPL2-A10-410-SUB01,95,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0120
A,E,\NEX\Z90\999,KPL2-Z90-999-LV99-MCC99,KPL2-Z90-999-LV99-MCC99,FINAL_LOAD,KPL2-Z90-999-PP001,PROCESS PUMP,\NEX\Z90\999,KPL2-Z90-999-LV99-MCC99,-,MAA,VSD,FD-LV-MOT,N,C,1,AC,3PNG,0.4,0.88,0.92,18.5,kW,16.2,kW,0.7,14.6,kW,26.4,Safe Area,-,KPL2-Z90-999-SUB99,35,KPL2-Z90-999-TR99,Synthetic final load record,SYN-LOAD-0121
